O_SA2_NAME11,D_SA2_NAME11,persons,increase_in_travel_time,distance,extra_minutes,lat_orig,lon_orig,dist_orig2CBD,lat_dest,lon_dest,dist_dest2CBD,bearing_rad,bearing,distance2CBD,lat,lon,xend,yend,total_commuters_from,avg_extra_mins,distance_group
Bidwill - Hebersham - Emerton,Windsor - Bligh Park,45,0.102516654330126,18.886125,2.30833333333333,-33.7405556561538,150.818381991731,38.6351265871496,-33.6300638886667,150.805104664,45.7113714112396,3.02200031922299,173.147863978665,42.1732489991946,-33.6853097724103,150.811743327866,150.805736917701,-33.6353254014042,2123,3.65048673261109,"(10,20]"
Emu Plains - Leonay,Castlereagh - Cranebrook,72,0.156355455568054,10.0230625,2.31666666666667,-33.7512076458824,150.6547369,52.6487004177646,-33.7140201273469,150.71384529551,48.7111243247728,-2.13236794151452,-122.175683417781,50.6799123712687,-33.7326138866147,150.684291097755,150.71103061001,-33.7157909615629,2804,3.69364003804089,"(10,20]"
Paddington - Moore Park,Double Bay - Bellevue Hill,92,0.261278195488722,4.903375,2.31666666666667,-33.8862174367568,151.228373738108,2.6972157941301,-33.8782889714035,151.249404786491,4.08019130337237,-1.93130928081058,-110.655870724893,3.38870354875123,-33.8822532040802,151.2388892623,151.248403307997,-33.8786665173727,1912,4.45788441422594,"(-Inf,5]"
Burwood - Croydon,Kingsgrove (North) - Earlwood,18,0.163145539906103,7.127,2.31666666666667,-33.8782969530612,151.108516831429,9.06564871783165,-33.9266990303448,151.119501527931,10.1649724723166,-0.223166659262982,-12.786507703803,9.61531059507411,-33.902497991703,151.11400917968,151.118978447145,-33.9243941695218,2500,7.64926666666667,"(5,10]"
Claymore - Eagle Vale - Raby,Menai - Lucas Heights - Woronora,14,0.0754614549402823,38.7421333333333,2.31666666666667,-34.0305805562069,150.81133122069,40.5492016437695,-34.0196707689474,151.018321200877,24.002176348626,-1.62345443881184,-93.0170875756978,32.2756889961977,-34.0251256625772,150.914826210784,151.008464535154,-34.0201902826264,4307,4.6385148208343,"(20, Inf]"
Newport - Bilgola,Terrey Hills - Duffys Forest,65,0.0856966707768187,16.3235625,2.31666666666667,-33.6529110529412,151.315493749412,26.2049666204149,-33.6761949585714,151.217912625,21.6186997667479,1.33656534356073,76.5795532294828,23.9118331935814,-33.6645530057563,151.266703187206,151.22255934521,-33.6750862011604,3178,6.66992867631634,"(10,20]"
North Sydney - Lavender Bay,Willoughby - Castle Cove - Northbridge,21,0.293868921775899,5.6546875,2.31666666666667,-33.8412453335714,151.207415698929,3.24083002964143,-33.8016834108772,151.209363511053,7.64353883719282,-3.09239786173041,-177.181346052433,5.44218443341712,-33.8214643722243,151.208389604991,151.209270758095,-33.8035673119579,913,4.2557137641475,"(5,10]"
Picton - Tahmoor - Buxton,Chipping Norton - Moorebank,68,0.0500540151242348,62.8651428571429,2.31666666666667,-34.2071173406977,150.579702265116,68.8111791647646,-33.9258439409091,150.952252495682,24.2405018655625,-2.21748630228643,-127.052606249083,46.5258405151636,-34.0664806408034,150.765977380399,150.934512008512,-33.9392379123276,2038,2.47389188747138,"(20, Inf]"
Fairfield,Bass Hill - Georges Hall,29,0.192946058091286,6.4223125,2.325,-33.8705554672727,150.950629545682,23.6001213108913,-33.9021736201852,150.990554505185,20.2218800474251,-0.900989678268266,-51.6229059496216,21.9110006791582,-33.886364543729,150.970592025434,150.988653316637,-33.900667993856,1448,5.73500230202578,"(5,10]"
Kellyville,Baulkham Hills (West) - Bella Vista,790,0.206973293768546,6.3363125,2.325,-33.7091586729167,150.964659479792,28.6321397733786,-33.7450736878723,150.966098304894,26.2000311163582,-0.0400405260156633,-2.29415315018128,27.4160854448684,-33.7271161803945,150.965378892343,150.966029789413,-33.7433634490649,5733,8.07464242107099,"(5,10]"
Berowra - Brooklyn - Cowan,Galston - Laughtondale,15,0.0646431881371641,27.2531875,2.325,-33.6069285809375,151.152964006563,29.7053489251358,-33.62882919,151.058955643529,30.1137680622179,1.341914233782,76.8860220642403,29.9095584936769,-33.6178788854688,151.105959825046,151.063432232245,-33.6277863038542,1564,8.46599531116795,"(20, Inf]"
Blacktown (North) - Marayong,Hassall Grove - Plumpton,21,0.226461038961039,6.67225,2.325,-33.7487891935714,150.889920714524,32.2014424118832,-33.7430603956522,150.837119780652,36.9267506995983,1.67887161038367,96.1922576193164,34.5640965557408,-33.7459247946118,150.863520247588,150.839634110836,-33.7433331955531,2981,4.86438555294644,"(5,10]"
Revesby,Ingleburn - Denham Court,20,0.115575807787904,24.2885625,2.325,-33.95077817,151.016194299714,19.6858805481053,-34.00062399,150.865624363409,34.6011657196723,1.25110431742704,71.6829971191649,27.1435231338888,-33.97570108,150.940909331562,150.872794360376,-33.9982503795238,2324,8.90308734939759,"(20, Inf]"
Picton - Tahmoor - Buxton,Leumeah - Minto Heights,21,0.055934242181235,41.6811428571429,2.325,-34.2071173406977,150.579702265116,68.8111791647646,-34.0597493072222,150.8428176575,39.5825610891681,-2.08135238867062,-119.252707550299,54.1968701269663,-34.13343332396,150.711259961308,150.830288353101,-34.0667668326258,2038,2.47389188747138,"(20, Inf]"
Homebush Bay - Silverwater,Parramatta - Rosehill,126,0.173940149625935,8.6461875,2.325,-33.8374017745833,151.055359700833,14.4079087219558,-33.8217961809804,151.00609237,19.2578630277434,1.8775514553314,107.575774209135,16.8328858748496,-33.8295989777819,151.030726035417,151.008438433373,-33.8225393044853,1973,8.45266936982598,"(5,10]"
Lindfield - Roseville,Chatswood (West) - Lane Cove North,29,0.208643815201192,4.5006875,2.33333333333333,-33.7783254568519,151.177173201111,10.5819509858024,-33.8028612454762,151.169178786905,8.25108584977398,0.314979408457205,18.0469907381251,9.4165184177882,-33.7905933511641,151.173175994008,151.169559473296,-33.8016928745893,3467,7.27617056052303,"(-Inf,5]"
St Leonards - Naremburn,Crows Nest - Waverton,67,0.36745406824147,2.167625,2.33333333333333,-33.8190809,151.196129148182,5.77968083674046,-33.8307725659091,151.200786744773,4.43235716898617,-0.379099503212832,-21.7208015496015,5.10601900286332,-33.8249267329546,151.198457946478,151.200564954459,-33.8302158199134,1247,4.70973001871157,"(-Inf,5]"
Kurrajong Heights - Ebenezer,Windsor - Bligh Park,1025,0.105980317940954,20.365125,2.33333333333333,-33.5414591342857,150.738293808571,56.6692199945202,-33.6300638886667,150.805104664,45.7113714112396,-0.646076852386956,-37.0174768828692,51.1902957028799,-33.5857615114762,150.771699236285,150.801923194694,-33.6258446146486,5473,4.14155551495219,"(20, Inf]"
Ingleburn - Denham Court,Campbelltown - Woodbine,311,0.18018018018018,8.89786666666667,2.33333333333333,-34.00062399,150.865624363409,34.6011657196723,-34.0636695397436,150.817790663333,41.7769219010106,0.64905638106588,37.1881913011098,38.1890438103415,-34.0321467648718,150.841707513371,150.820068458575,-34.0606673707082,2308,6.03782856730214,"(5,10]"
Kogarah,Hurstville,72,0.251346499102334,4.62973333333333,2.33333333333333,-33.9669629537037,151.137076164444,12.493614173325,-33.9602443413953,151.100449606512,13.9704607810378,1.75221497921877,100.394523108839,13.2320374771814,-33.9636036475495,151.118762885478,151.102193728318,-33.9605642753148,1142,7.92333625218914,"(-Inf,5]"
Sans Souci - Ramsgate,Hurstville,89,0.193637621023513,6.52473333333333,2.33333333333333,-33.9921341302564,151.137527265641,14.9500489018208,-33.9602443413953,151.100449606512,13.9704607810378,2.28111387499826,130.698197626133,14.4602548414293,-33.9761892358259,151.118988436077,151.102215209328,-33.9617629027696,2938,8.44485477649194,"(5,10]"
Richmond - Clarendon,Jamisontown - South Penrith,41,0.091324200913242,25.6319375,2.33333333333333,-33.5941187572727,150.740194653636,52.9249046897043,-33.7725667619512,150.693120702683,48.6334153141926,0.257920823357599,14.7777746269297,50.7791600019485,-33.6833427596119,150.71665767816,150.695362319395,-33.7640692379189,2045,3.72991442542787,"(20, Inf]"
Kogarah Bay - Carlton - Allawah,Mortdale - Penshurst,18,0.221518987341772,6.07026666666667,2.33333333333333,-33.9752340045946,151.122329046757,13.9967266513094,-33.9683993068,151.0767433888,16.1741695153825,1.71961867430495,98.5268924095551,15.0854480833459,-33.9718166556973,151.099536217779,151.078914134417,-33.9687247685997,2585,7.6385944551902,"(5,10]"
Padstow,Oatley - Hurstville Grove,23,0.194444444444444,7.58586666666667,2.33333333333333,-33.9580492376191,151.031981248095,18.8053895340924,-33.978078533871,151.085669285161,16.3464068503431,-1.21372041476055,-69.5410572746475,17.5758981922178,-33.9680638857451,151.058825266628,151.083112711967,-33.977124757859,2709,9.73458225667528,"(5,10]"
Menai - Lucas Heights - Woronora,Panania - Milperra - Picnic Point,46,0.148305084745763,12.8025333333333,2.33333333333333,-34.0196707689474,151.018321200877,24.002176348626,-33.9563508193443,150.995810933279,21.6446723365966,2.80002612655065,160.429679577716,22.8234243426113,-33.9880107941459,151.007066067078,150.996882850784,-33.9593660550397,4811,9.77100394928289,"(10,20]"
Mortdale - Penshurst,Panania - Milperra - Picnic Point,25,0.155382907880133,10.6362666666667,2.33333333333333,-33.9683993068,151.0767433888,16.1741695153825,-33.9563508193443,150.995810933279,21.6446723365966,1.71858183719148,98.4674860189111,18.9094209259895,-33.9623750630722,151.03627716104,150.999664859732,-33.9569245568422,3991,8.41824104234528,"(10,20]"
Claymore - Eagle Vale - Raby,Punchbowl,19,0.0974930362116992,31.6660666666667,2.33333333333333,-34.0305805562069,150.81133122069,40.5492016437695,-33.929210758125,151.052379025625,15.6357091837873,-1.96888168582675,-112.808610958476,28.0924554137784,-33.979895657166,150.931855123158,151.040900558723,-33.934037891367,4307,4.6385148208343,"(20, Inf]"
Parklea - Kellyville Ridge,Rouse Hill - Beaumont Hills,156,0.311111111111111,5.217125,2.33333333333333,-33.7144897764516,150.923132187419,31.3837366864634,-33.6841242315909,150.932196104773,32.7184169449698,-2.85151855405243,-163.379978350451,32.0510768157166,-33.6993070040213,150.927664146096,150.931764489661,-33.6855702099176,5328,8.28870902152152,"(5,10]"
Concord - Mortlake - Cabarita,Croydon Park - Enfield,40,0.19622905027933,5.5310625,2.34166666666667,-33.8542789822449,151.106993616735,9.33778759536788,-33.89440270375,151.103896902,9.81886961208145,0.0770264534007432,4.4132906907237,9.57832860372466,-33.8743408429975,151.105445259368,151.104044364606,-33.892492050345,4143,7.69340856062435,"(5,10]"
Glenwood,Lalor Park - Kings Langley,200,0.225521669341894,6.42125,2.34166666666667,-33.7349919222222,150.934410974167,29.2831457205801,-33.7586776253571,150.936579393214,27.8378700790381,-0.0912952099015477,-5.23083021711965,28.5605078998091,-33.7468347737897,150.935495183691,150.936476135164,-33.7575497347316,3420,6.77430068226121,"(5,10]"
