orig_Suburb,dest_Suburb,free_flow,avg_trip_time_in_am_peak,avg_pc_increase_travel_time,sd_peak_duration,P20,P80
Albert Park,CBD,8.58333333333333,16.8321100917431,0.961022534960363,1.71615374457255,15.3866666666667,18.2466666666667
Mount Waverley,Glen Iris,7.55,14.4179487179487,0.909662081847512,3.52869844849126,10.6633333333333,16.5433333333333
Southbank,South Yarra,7.1,14.3570336391437,1.02211741396391,1.48695163765546,12.9066666666667,15.7066666666667
CBD,Port Melbourne,9.81666666666667,14.0908099688474,0.435396601240817,0.921940897836211,13.3866666666667,14.75
Cranbourne North,Berwick,8.71666666666667,14.0850515463918,0.615875894423528,2.63048972316143,10.6666666666667,16.3966666666667
St Kilda,South Yarra,7.28333333333333,13.9518348623853,0.915583733965948,1.86994495452965,11.9633333333333,15.7166666666667
Mernda,South Morang,9.91666666666667,13.8894097222222,0.400612745098039,1.41707036516692,12.75,14.7833333333333
South Morang,Mernda,10.55,13.0697916666667,0.238842812006319,0.561104343946223,12.5,13.5333333333333
Lilydale High School,Montrose Primary School,9.71666666666667,12.3695718654434,0.273026264025052,0.881070488638729,11.4266666666667,13.14
Glen Iris,Mount Waverley,8.11666666666667,12.3212820512821,0.518022429316064,3.49117626291168,9.65,14.8766666666667
CBD,Albert Park,8.46666666666667,12.2892966360856,0.451491728671531,0.548855538309512,11.9766666666667,12.4733333333333
Maribrynong,Sunshine,9.16666666666667,11.9926605504587,0.308290241868224,0.320665389687312,11.7433333333333,12.29
Essendon DFO,Moonee Ponds,7.53333333333333,11.67125382263,0.549281480880084,1.17316284790032,10.5666666666667,12.86
Moonee Ponds,Essendon DFO,7.45,11.6521406727829,0.564045727890319,0.645306339817771,11.05,12.1066666666667
Spotswood,Port Melbourne,5.61666666666667,11.5048717948718,1.04834512668341,2.35253395276915,8.66333333333333,13.0766666666667
Seaford,Carrum Downs,9.26666666666667,11.4878006872852,0.239690721649484,0.438448148935628,11.0733333333333,11.7333333333333
Berwick,Cranbourne North,8.91666666666667,11.453264604811,0.284478273436747,0.555421715693781,10.87,11.88
Sunshine,Maribrynong,8.31666666666667,11.3388379204893,0.363387325108934,0.594769100708649,10.7933333333333,11.85
Carrum Downs,Seaford,9,11.1618556701031,0.24020618556701,0.470470353956432,10.7266666666667,11.4666666666667
South Yarra,St Kilda,7.25,11.097247706422,0.530654856058209,0.899647032298557,10.4433333333333,11.7133333333333
CBD,Carlton,6.43333333333333,10.5810397553517,0.64472120549508,0.49479527654256,10.1833333333333,11
West Footscray,Yarraville,7.73333333333333,10.2611683848797,0.326875222182723,0.35791094007743,9.97,10.5
Montrose Primary School,Lilydale High School,8.36666666666667,10.2345565749235,0.223253773895245,0.560752114815131,9.75,10.6133333333333
Yarraville,West Footscray,7.16666666666667,10.1962199312715,0.422728362502997,0.558771103020574,9.73333333333333,10.5866666666667
Richmond,South Yarra,4.53333333333333,9.62782874617737,1.12378575283324,1.39746436869016,8.36,10.9533333333333
Carlton,CBD,4.58333333333333,9.38868501529052,1.04844036697248,0.729940526686741,8.85,9.85666666666667
Clayton,Monash Medical Centre,6.66666666666667,9.16941896024465,0.375412844036697,0.62673837980083,8.71,9.49666666666667
South Yarra,Richmond,4.4,8.4960244648318,0.930914651098137,1.01620081181374,7.78,9.05
Monash Medical Centre,Clayton,5.8,8.26467889908257,0.424944637772857,0.672840719333958,7.81,8.63
Maribrynong,Keilor East,6.53333333333333,8.08394495412844,0.237338513387006,0.391853295472105,7.78333333333333,8.31666666666667
Keilor East,Maribrynong,6.03333333333333,7.82813455657492,0.29748086573065,0.392494510247751,7.46,8.11666666666667
Nunawading,Box Hill North,4.51666666666667,7.62666666666667,0.688560885608856,2.4116197300201,5.42666666666667,10.1133333333333
Deer Park,St Albans,4.96666666666667,6.63088685015291,0.335077889292531,0.50018425456915,6.22666666666667,6.95
Port Melbourne,Spotswood,4.95,6.60538461538462,0.334421134421134,1.42956477597832,6.04333333333333,6.70333333333333
St Albans,Deer Park,5.1,6.48470948012233,0.271511662769083,0.313163932079985,6.25,6.70666666666667
Vermont South,Glen Waverley,3.08333333333333,6.19435897435897,1.00898128898129,2.12872279481841,3.97666666666667,8.35666666666667
Preston,Preston,3.31666666666667,6.06833333333333,0.846542971266589,1.41429098570558,4.83,7.08666666666667
Box Hill North,Nunawading,4.73333333333333,6.01128205128205,0.269989165763814,1.25346432331721,5.52333333333333,6.02
Glen Waverley,Vermont South,3.65,4.82282051282051,0.321320688443976,0.339238951536106,4.65333333333333,5.00333333333333
Watsonia,Macleod,3.28333333333333,4.54,0.382741116751269,0.954033833548662,4.11,4.68333333333333
Macleod,Watsonia,2.76666666666667,3.46641025641026,0.25291936978684,0.331302305981588,3.3,3.52
